18:33:35 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=True, log_dir=ultranest_plane/run0, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
18:33:43 [ultranest] [INFO] Sampling 400 live points from prior ...
18:33:43 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
18:33:43 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=3, min_num_live_points=400, cluster_num_live_points=40
18:33:43 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
18:33:50 [ultranest] [DEBUG] iteration=1240, ncalls=15313, regioncalls=0, ndraw=40, logz=-61097.75, remainder_fraction=100.0000%, Lmin=-60706.98, Lmax=-0.46
18:33:50 [ultranest] [DEBUG] iteration=1260, ncalls=15632, regioncalls=0, ndraw=40, logz=-53759.76, remainder_fraction=100.0000%, Lmin=-53730.05, Lmax=-0.46
18:33:50 [ultranest] [DEBUG] iteration=1272, ncalls=15920, regioncalls=0, ndraw=40, logz=-50061.38, remainder_fraction=100.0000%, Lmin=-49477.72, Lmax=-0.46
18:33:51 [ultranest] [DEBUG] iteration=1280, ncalls=16065, regioncalls=0, ndraw=40, logz=-47576.57, remainder_fraction=100.0000%, Lmin=-47160.46, Lmax=-0.46
18:33:51 [ultranest] [DEBUG] iteration=1297, ncalls=16371, regioncalls=0, ndraw=40, logz=-44791.48, remainder_fraction=100.0000%, Lmin=-44643.05, Lmax=4.17
18:33:51 [ultranest] [DEBUG] iteration=1315, ncalls=16712, regioncalls=0, ndraw=40, logz=-41902.29, remainder_fraction=100.0000%, Lmin=-41885.62, Lmax=4.17
18:33:51 [ultranest] [DEBUG] iteration=1320, ncalls=16810, regioncalls=0, ndraw=40, logz=-41381.57, remainder_fraction=100.0000%, Lmin=-41350.18, Lmax=4.17
18:33:51 [ultranest] [DEBUG] iteration=1340, ncalls=17138, regioncalls=0, ndraw=40, logz=-36996.06, remainder_fraction=100.0000%, Lmin=-36766.18, Lmax=4.17
18:33:51 [ultranest] [DEBUG] iteration=1352, ncalls=17402, regioncalls=0, ndraw=40, logz=-34784.35, remainder_fraction=100.0000%, Lmin=-34764.53, Lmax=4.17
18:33:51 [ultranest] [DEBUG] iteration=1360, ncalls=17559, regioncalls=0, ndraw=40, logz=-33702.46, remainder_fraction=100.0000%, Lmin=-33270.38, Lmax=4.17
18:33:51 [ultranest] [DEBUG] iteration=1374, ncalls=17842, regioncalls=0, ndraw=40, logz=-30615.09, remainder_fraction=100.0000%, Lmin=-30479.25, Lmax=4.17
18:33:51 [ultranest] [DEBUG] iteration=1387, ncalls=18194, regioncalls=0, ndraw=40, logz=-29069.10, remainder_fraction=100.0000%, Lmin=-28837.80, Lmax=4.17
18:33:51 [ultranest] [DEBUG] iteration=1400, ncalls=18429, regioncalls=0, ndraw=40, logz=-26815.13, remainder_fraction=100.0000%, Lmin=-26791.80, Lmax=4.17
18:33:51 [ultranest] [DEBUG] iteration=1415, ncalls=18764, regioncalls=0, ndraw=40, logz=-25003.19, remainder_fraction=100.0000%, Lmin=-24918.32, Lmax=4.17
18:33:52 [ultranest] [DEBUG] iteration=1430, ncalls=19094, regioncalls=0, ndraw=40, logz=-23157.46, remainder_fraction=100.0000%, Lmin=-23106.31, Lmax=4.17
18:33:52 [ultranest] [DEBUG] iteration=1440, ncalls=19310, regioncalls=0, ndraw=40, logz=-22449.18, remainder_fraction=100.0000%, Lmin=-22289.65, Lmax=4.17
18:33:52 [ultranest] [DEBUG] iteration=1454, ncalls=19604, regioncalls=0, ndraw=40, logz=-21310.89, remainder_fraction=100.0000%, Lmin=-21255.90, Lmax=4.17
18:33:52 [ultranest] [DEBUG] iteration=1470, ncalls=19930, regioncalls=0, ndraw=40, logz=-19139.16, remainder_fraction=100.0000%, Lmin=-19031.53, Lmax=4.17
18:33:52 [ultranest] [DEBUG] iteration=1480, ncalls=20143, regioncalls=0, ndraw=40, logz=-18471.20, remainder_fraction=100.0000%, Lmin=-18078.10, Lmax=4.17
18:33:52 [ultranest] [DEBUG] iteration=1497, ncalls=20519, regioncalls=0, ndraw=40, logz=-16757.23, remainder_fraction=100.0000%, Lmin=-16741.18, Lmax=4.17
18:33:52 [ultranest] [DEBUG] iteration=1517, ncalls=20891, regioncalls=0, ndraw=40, logz=-14837.20, remainder_fraction=100.0000%, Lmin=-14790.89, Lmax=4.17
18:33:52 [ultranest] [DEBUG] iteration=1520, ncalls=21004, regioncalls=0, ndraw=40, logz=-14746.71, remainder_fraction=100.0000%, Lmin=-14736.88, Lmax=4.17
18:33:52 [ultranest] [DEBUG] iteration=1530, ncalls=21219, regioncalls=0, ndraw=40, logz=-14318.35, remainder_fraction=100.0000%, Lmin=-14207.50, Lmax=4.26
18:33:52 [ultranest] [DEBUG] iteration=1542, ncalls=21475, regioncalls=0, ndraw=40, logz=-13875.75, remainder_fraction=100.0000%, Lmin=-13834.12, Lmax=8.40
18:33:52 [ultranest] [DEBUG] iteration=1559, ncalls=21800, regioncalls=0, ndraw=40, logz=-12490.38, remainder_fraction=100.0000%, Lmin=-12471.31, Lmax=8.40
18:33:52 [ultranest] [DEBUG] iteration=1560, ncalls=21827, regioncalls=0, ndraw=40, logz=-12481.20, remainder_fraction=100.0000%, Lmin=-12446.32, Lmax=8.40
18:33:52 [ultranest] [DEBUG] iteration=1582, ncalls=22204, regioncalls=0, ndraw=40, logz=-11066.12, remainder_fraction=100.0000%, Lmin=-10992.09, Lmax=8.40
18:33:53 [ultranest] [DEBUG] iteration=1600, ncalls=22555, regioncalls=0, ndraw=40, logz=-10144.04, remainder_fraction=100.0000%, Lmin=-10125.86, Lmax=8.40
18:33:53 [ultranest] [DEBUG] iteration=1620, ncalls=22942, regioncalls=0, ndraw=40, logz=-9337.87, remainder_fraction=100.0000%, Lmin=-9302.25, Lmax=8.40
18:33:53 [ultranest] [DEBUG] iteration=1635, ncalls=23231, regioncalls=0, ndraw=40, logz=-8396.32, remainder_fraction=100.0000%, Lmin=-8368.67, Lmax=8.40
18:33:53 [ultranest] [DEBUG] iteration=1640, ncalls=23326, regioncalls=0, ndraw=40, logz=-8290.34, remainder_fraction=100.0000%, Lmin=-8227.39, Lmax=8.40
18:33:53 [ultranest] [DEBUG] iteration=1654, ncalls=23621, regioncalls=0, ndraw=40, logz=-7590.58, remainder_fraction=100.0000%, Lmin=-7576.79, Lmax=8.40
18:33:53 [ultranest] [DEBUG] iteration=1670, ncalls=23989, regioncalls=0, ndraw=40, logz=-7155.32, remainder_fraction=100.0000%, Lmin=-7105.09, Lmax=8.40
18:33:53 [ultranest] [DEBUG] iteration=1680, ncalls=24171, regioncalls=0, ndraw=40, logz=-6725.21, remainder_fraction=100.0000%, Lmin=-6676.52, Lmax=8.40
18:33:53 [ultranest] [DEBUG] iteration=1700, ncalls=24525, regioncalls=0, ndraw=40, logz=-5963.96, remainder_fraction=100.0000%, Lmin=-5940.14, Lmax=8.40
18:33:53 [ultranest] [DEBUG] iteration=1716, ncalls=24793, regioncalls=0, ndraw=40, logz=-5596.40, remainder_fraction=100.0000%, Lmin=-5581.03, Lmax=8.40
18:33:53 [ultranest] [DEBUG] iteration=1720, ncalls=24878, regioncalls=0, ndraw=40, logz=-5574.49, remainder_fraction=100.0000%, Lmin=-5552.77, Lmax=8.40
18:33:53 [ultranest] [DEBUG] iteration=1734, ncalls=25153, regioncalls=0, ndraw=40, logz=-5062.06, remainder_fraction=100.0000%, Lmin=-5051.60, Lmax=8.40
18:33:54 [ultranest] [DEBUG] iteration=1752, ncalls=25540, regioncalls=0, ndraw=40, logz=-4405.66, remainder_fraction=100.0000%, Lmin=-4371.16, Lmax=8.40
18:33:54 [ultranest] [DEBUG] iteration=1760, ncalls=25719, regioncalls=0, ndraw=40, logz=-4164.37, remainder_fraction=100.0000%, Lmin=-4126.16, Lmax=8.40
18:33:54 [ultranest] [DEBUG] iteration=1778, ncalls=26142, regioncalls=0, ndraw=40, logz=-3894.86, remainder_fraction=100.0000%, Lmin=-3878.98, Lmax=8.40
18:33:54 [ultranest] [DEBUG] iteration=1794, ncalls=26533, regioncalls=0, ndraw=40, logz=-3600.45, remainder_fraction=100.0000%, Lmin=-3525.06, Lmax=8.40
18:33:54 [ultranest] [DEBUG] iteration=1800, ncalls=26675, regioncalls=0, ndraw=40, logz=-3462.35, remainder_fraction=100.0000%, Lmin=-3438.82, Lmax=8.40
18:33:54 [ultranest] [DEBUG] iteration=1808, ncalls=26867, regioncalls=0, ndraw=40, logz=-3357.21, remainder_fraction=100.0000%, Lmin=-3341.81, Lmax=8.40
18:33:54 [ultranest] [DEBUG] iteration=1821, ncalls=27117, regioncalls=0, ndraw=40, logz=-3153.44, remainder_fraction=100.0000%, Lmin=-3137.27, Lmax=8.40
18:33:54 [ultranest] [DEBUG] iteration=1838, ncalls=27439, regioncalls=0, ndraw=40, logz=-2927.86, remainder_fraction=100.0000%, Lmin=-2902.91, Lmax=8.40
18:33:54 [ultranest] [DEBUG] iteration=1840, ncalls=27494, regioncalls=0, ndraw=40, logz=-2912.09, remainder_fraction=100.0000%, Lmin=-2849.83, Lmax=8.40
18:33:54 [ultranest] [DEBUG] iteration=1857, ncalls=27827, regioncalls=0, ndraw=40, logz=-2729.93, remainder_fraction=100.0000%, Lmin=-2714.50, Lmax=8.40
18:33:54 [ultranest] [DEBUG] iteration=1876, ncalls=28230, regioncalls=0, ndraw=40, logz=-2518.07, remainder_fraction=100.0000%, Lmin=-2471.08, Lmax=8.40
18:33:54 [ultranest] [DEBUG] iteration=1880, ncalls=28316, regioncalls=0, ndraw=40, logz=-2447.46, remainder_fraction=100.0000%, Lmin=-2435.29, Lmax=8.40
18:33:55 [ultranest] [DEBUG] iteration=1890, ncalls=28541, regioncalls=0, ndraw=40, logz=-2353.23, remainder_fraction=100.0000%, Lmin=-2321.60, Lmax=8.40
18:33:55 [ultranest] [DEBUG] iteration=1904, ncalls=28798, regioncalls=0, ndraw=40, logz=-2233.15, remainder_fraction=100.0000%, Lmin=-2210.74, Lmax=8.40
18:33:55 [ultranest] [DEBUG] iteration=1916, ncalls=29051, regioncalls=0, ndraw=40, logz=-2135.54, remainder_fraction=100.0000%, Lmin=-2098.78, Lmax=8.40
18:33:55 [ultranest] [DEBUG] iteration=1920, ncalls=29118, regioncalls=0, ndraw=40, logz=-2092.14, remainder_fraction=100.0000%, Lmin=-2055.67, Lmax=8.40
18:33:55 [ultranest] [DEBUG] iteration=1936, ncalls=29434, regioncalls=0, ndraw=40, logz=-1938.64, remainder_fraction=100.0000%, Lmin=-1923.73, Lmax=8.40
