weight logl A B $log(f)$
0.000000000000000000e+00 -1.363604364411076903e+08 4.730248599564259138e+00 2.666363524616576797e+01 -7.523579193012396082e+00
0.000000000000000000e+00 -1.340220892864122540e+08 -3.119448176063245981e+00 -1.588328730351491203e+01 -8.768924399997816366e+00
0.000000000000000000e+00 -1.335566106679134071e+08 -7.165462361845977846e+00 2.201751097979603600e+01 -3.401739700918495757e+00
0.000000000000000000e+00 -1.327186017538542002e+08 6.399189095860705834e+00 -1.638979501231364821e+01 -4.361201475484268286e+00
0.000000000000000000e+00 -1.305976466091262549e+08 -3.749547017684311534e+00 1.076324502804440186e+01 -9.589883047084526879e+00
0.000000000000000000e+00 -1.301800999238196313e+08 5.651283253845342358e+00 -1.307829833463206626e+01 -9.913696330919172794e+00
0.000000000000000000e+00 -1.300651536478681564e+08 5.521640988190201327e+00 -8.105915223850743700e+00 -7.894998716869515043e+00
0.000000000000000000e+00 -1.291142419432802498e+08 -8.560049679429965863e+00 6.246322646143269708e+00 -3.061013402031099062e+00
0.000000000000000000e+00 -1.288848623173952103e+08 6.710423942129764896e+00 -3.768207244326298166e+00 -3.921558267435461431e+00
0.000000000000000000e+00 -1.270779499276924282e+08 -3.368164732897410474e+00 -1.711961676136432686e+00 -8.645733866566441606e+00
0.000000000000000000e+00 -1.270481887416523695e+08 5.413895590398855262e+00 -5.816118840220447339e+00 -7.053124270947730423e+00
0.000000000000000000e+00 -1.263148123675798625e+08 5.209536958112916949e+00 1.429198605923694032e+01 -4.686804030420065104e+00
0.000000000000000000e+00 -1.257258330703048855e+08 -4.456158234253195793e+00 -7.752359425096457812e+00 -3.938623162668124067e+00
0.000000000000000000e+00 -1.244662555046833754e+08 -4.584782870489466866e+00 2.989094989700032556e+01 -4.522109622166329501e+00
0.000000000000000000e+00 -1.233708106736278385e+08 5.931938252274486345e+00 -2.837511900141167942e+01 -7.174426408454744220e+00
0.000000000000000000e+00 -1.226853663377981931e+08 5.313930968286815215e+00 -4.141543564764432972e+00 -6.074357182540816247e+00
0.000000000000000000e+00 -1.225435710694767684e+08 5.820445800768503375e+00 -2.470176242647688269e+01 -9.937458724678807087e+00
0.000000000000000000e+00 -1.191327760320394933e+08 -8.683511553258254523e+00 -1.975726370121608966e+01 -2.901949036936315451e+00
0.000000000000000000e+00 -1.173635349332598895e+08 7.674372227611591768e+00 -1.798097071446450812e+01 -3.602768689943458114e+00
0.000000000000000000e+00 -1.167788025311315507e+08 5.959606985088592879e+00 -3.400055207897666065e+01 -7.798012846549790211e+00
0.000000000000000000e+00 -1.162930012283172756e+08 -5.589948223277748873e+00 -1.015188312892103539e+01 -3.460043851369196233e+00
0.000000000000000000e+00 -1.159855630233049393e+08 -4.155167595479976050e+00 3.628039670790772675e+01 -7.859058464071781103e+00
0.000000000000000000e+00 -1.156834491652438939e+08 4.501263261983652342e+00 2.176273788516034813e+01 -8.026984324060675746e+00
0.000000000000000000e+00 -1.138983884796265364e+08 5.359101006843712156e+00 7.961778878256254188e+00 -4.400536750400938502e+00
0.000000000000000000e+00 -1.110342189519304931e+08 4.171834997182262583e+00 3.242892882419609180e+01 -5.877060149186258187e+00
0.000000000000000000e+00 -1.099382947338522524e+08 -3.244758525684378725e+00 3.622304145106902240e+00 -5.705993009988957532e+00
0.000000000000000000e+00 -1.098432225689007789e+08 -4.470398512850238149e+00 1.844818358444170769e+01 -4.107017258442952290e+00
0.000000000000000000e+00 -1.078736797452399582e+08 -2.434033785221050294e+00 -2.477891564364809085e+01 -7.179086502010688875e+00
0.000000000000000000e+00 -1.075722850455882251e+08 -2.348934301271643932e+00 -2.888266205926286290e+01 -5.895888407564497946e+00
0.000000000000000000e+00 -1.075074497779223174e+08 -2.788132703136200874e+00 -1.090545812964108308e+01 -6.752988587662484221e+00
0.000000000000000000e+00 -1.047250428163434863e+08 4.091183926874741417e+00 2.990795851487479240e+01 -7.426165777948771307e+00
0.000000000000000000e+00 -1.023833129382295907e+08 -4.138688861951522746e+00 3.906091669913475073e+01 -5.000492422259003256e+00
0.000000000000000000e+00 -1.009406566660093963e+08 -2.920881983305775975e+00 -3.691285254233331159e+01 -4.053372955726048943e+00
0.000000000000000000e+00 -1.007168114212809503e+08 -9.142171421505580042e+00 -9.409925169960004609e+00 -2.775048129880857140e+00
0.000000000000000000e+00 -1.003960575549571365e+08 -4.769910467239228957e+00 -3.562853949891338345e+01 -3.378872851432140223e+00
0.000000000000000000e+00 -1.003516497830651999e+08 -3.479697078336357663e+00 2.133463004737616586e+01 -9.465439073033349970e+00
0.000000000000000000e+00 -9.986155900148119032e+07 4.162122095202406058e+00 2.415794856830430604e+01 -6.155701486697637392e+00
0.000000000000000000e+00 -9.950353224931535125e+07 -3.819727589467415640e+00 -5.724110350112674439e+00 -3.977948074455128769e+00
0.000000000000000000e+00 -9.802660312457467616e+07 -4.049523182177119374e+00 3.357185307971036536e+01 -4.671935457471228403e+00
0.000000000000000000e+00 -9.752018523614199460e+07 7.709471930957512598e+00 -1.938164216006346408e+01 -3.438930175307111092e+00
0.000000000000000000e+00 -9.507230454708623886e+07 8.394496353906713892e+00 -3.716745127865056020e+01 -3.360798185733888666e+00
