A B $log(f)$
3.085653178695952903e-01 2.385400762589626567e+01 -2.038843568604477241e+00
3.913872651980199180e-01 2.063384909149741020e+01 -2.044268071290656685e+00
4.425126563771755173e-01 1.863329604868788891e+01 -1.436416806009528813e+00
3.532490655526245860e-01 2.205884347564100523e+01 -2.007403490991258366e+00
3.725079636217181189e-01 2.141425838611144883e+01 -1.690591048067330959e+00
3.206391012507801008e-01 2.344353196967616526e+01 -2.064641407782564997e+00
5.716618554784282935e-01 1.372564101643166623e+01 -2.117145395673894370e+00
3.028760004302775144e-01 2.404363295620852625e+01 -2.090488642669544816e+00
2.162603560509026579e-01 2.744256964912275976e+01 -2.076817381226332415e+00
4.709180610970520320e-01 1.759901404289627891e+01 -2.016782342441462816e+00
5.184811920050602652e-01 1.576749214330297377e+01 -1.593355060650219812e+00
5.481315213903421579e-01 1.456775784478246294e+01 -1.595220649006684255e+00
2.514307373505317855e-01 2.615116400181514678e+01 -1.889252744416349827e+00
5.265656002660978885e-01 1.540374635726181651e+01 -1.965889794395309309e+00
3.304128619822108703e-01 2.301644247044572467e+01 -1.962828286919114262e+00
6.718268412786514432e-01 9.830325170578376515e+00 -1.467597645764209702e+00
9.664174919237282779e-01 -1.684866379119370094e+00 -8.969870787810876323e-01
4.274123139850374287e-01 1.928208161380645436e+01 -2.403279980617756273e+00
5.753492702405811343e-01 1.350407752568572306e+01 -1.691245939751372163e+00
3.534630514638781307e-01 2.218509048183037891e+01 -1.991699179424212929e+00
8.122158749515300258e-01 4.092453491151701428e+00 -1.177703956071908920e+00
3.241385976778072830e-01 2.334154748037241944e+01 -1.818550778544002711e+00
5.026191904980592540e-01 1.636372475478103183e+01 -1.612374492684182314e+00
3.034229309157492338e-01 2.408429707039192635e+01 -1.845571002497036872e+00
7.362597632188627728e-01 7.343846712928979059e+00 -1.809902129393419656e+00
4.960375626695441298e-01 1.658813965024041437e+01 -2.228309185252880908e+00
4.405199712156466774e-01 1.879731596522793780e+01 -2.133506695396602204e+00
5.425739419955011300e-01 1.473132842098316075e+01 -1.650602006172199765e+00
4.357269320136136770e-01 1.897998492714674512e+01 -1.756735460826098105e+00
4.413931101397743362e-01 1.872020049207708325e+01 -2.021511315623597760e+00
5.883453715484492363e-01 1.299871990234956343e+01 -1.045819955695133530e+00
4.801228931424823543e-01 1.723390386443492162e+01 -1.933704527484886526e+00
3.832799227342231774e-01 2.095561204250610388e+01 -2.617222111790060701e+00
3.579005389238769652e-01 2.186441369429388715e+01 -1.700476254648675578e+00
6.009191338919439573e-01 1.251393986666960245e+01 -1.965801848607075186e+00
3.678489539451916812e-01 2.155366655000690912e+01 -1.666468815521941593e+00
3.397718953860202618e-01 2.256885068516619697e+01 -1.370215436584270918e+00
5.135410411359551119e-01 1.590978403404497499e+01 -2.283904957866463192e+00
2.883169842926207593e-01 2.460381902153746125e+01 -2.124201593576731995e+00
1.750783637961070838e-01 2.895147703083181057e+01 -1.854228138717939345e+00
4.296136988575423032e-01 1.923685240003058539e+01 -2.219409763460800988e+00
5.085471001211967490e-01 1.612641446683532109e+01 -2.396657649746484431e+00
9.113556977010617288e-01 4.917853456842635751e-01 -1.431116561462120629e+00
3.808375274594197890e-01 2.103715025842363673e+01 -1.530593436962842446e+00
