weight logl A B $log(f)$
0.000000000000000000e+00 -1.974236053735355735e+08 7.719615710251327423e-01 9.347708801896293940e-01 3.216996399834037845e-01
0.000000000000000000e+00 -1.938492762467776239e+08 2.416089345606863281e-01 8.566002364564632154e-01 1.284697326188632971e-01
0.000000000000000000e+00 -1.929950206022553742e+08 9.341042044597556160e-01 4.048236852852005185e-01 6.269721966291356141e-01
0.000000000000000000e+00 -1.927279802588043511e+08 3.272111914036323066e-01 3.158951037404267304e-02 3.203536442675660734e-01
0.000000000000000000e+00 -1.909133634180822968e+08 2.761087493608337384e-01 5.409202954020303489e-01 2.714176908280167000e-01
0.000000000000000000e+00 -1.905737270286909640e+08 3.168632194669395163e-01 1.492742592162888959e-01 1.744532422167727193e-01
0.000000000000000000e+00 -1.892496522183234990e+08 8.642344261927368265e-01 7.802319248038103172e-02 4.938823378410123199e-01
0.000000000000000000e+00 -1.892255256987097859e+08 2.451717664967683064e-01 8.530370055522134010e-01 1.936279194536331405e-01
0.000000000000000000e+00 -1.873794522598438561e+08 8.234511696065989206e-01 3.651352848311724131e-01 8.137871867929709346e-02
0.000000000000000000e+00 -1.865805552243877053e+08 8.107516830961929433e-01 5.223562483110898436e-01 4.494739811376443628e-01
0.000000000000000000e+00 -1.836912139494482875e+08 2.812746850152990641e-01 5.411575193073479007e-01 1.023902614268649147e-01
0.000000000000000000e+00 -1.807896929069084525e+08 2.819977957516297540e-01 5.130529885557557623e-01 4.522459086857634203e-01
0.000000000000000000e+00 -1.789304478405430019e+08 2.580981092850157532e-01 7.960919600547090580e-01 3.147300602790804591e-01
0.000000000000000000e+00 -1.773888004186212122e+08 3.385692649666415255e-01 2.931959422245816738e-02 2.194829185239010050e-01
0.000000000000000000e+00 -1.761329936179761887e+08 2.994259321296576237e-01 4.154189572091236959e-01 3.102681874921299210e-01
0.000000000000000000e+00 -1.743433189920025170e+08 3.101543476822276046e-01 3.262921021663652832e-01 1.776956993893356040e-01
0.000000000000000000e+00 -1.723833427361105084e+08 7.891667115900787843e-01 5.946531439809145114e-01 2.882884514903606421e-01
0.000000000000000000e+00 -1.687896045491033196e+08 2.832126142950206482e-01 4.423566548228827777e-01 5.313096117141001828e-01
0.000000000000000000e+00 -1.682387936153632402e+08 8.232969304454225146e-01 2.329567223740913740e-01 1.838483731921570774e-01
0.000000000000000000e+00 -1.681410221373397708e+08 2.834223911923632877e-01 6.296297712574840943e-01 1.174351424604602734e-01
0.000000000000000000e+00 -1.673372584005650282e+08 3.396113504853240928e-01 9.091344753991770222e-02 1.279104959108598172e-01
0.000000000000000000e+00 -1.660526243851470053e+08 8.146004433389327781e-01 5.337785467779766480e-01 5.439418949191588970e-01
0.000000000000000000e+00 -1.649249746545181870e+08 8.810890799375159510e-01 3.208166363134432597e-01 6.034204585978247826e-01
0.000000000000000000e+00 -1.646070780208677649e+08 3.138582751394189962e-01 3.582615280375464617e-01 3.031724813315040956e-01
0.000000000000000000e+00 -1.629508425959952474e+08 2.511920703778198205e-01 9.792129994488980582e-01 2.220675218172643572e-01
0.000000000000000000e+00 -1.624285440200536549e+08 3.064388548289621594e-01 4.468735548066941066e-01 2.766534148038365393e-01
0.000000000000000000e+00 -1.613198419453781843e+08 7.751226392197941850e-01 6.494045717382475047e-01 8.778306399760077428e-02
0.000000000000000000e+00 -1.598034930980041027e+08 7.644755205189913694e-01 7.414844916968577060e-01 1.442651647900176082e-01
0.000000000000000000e+00 -1.564985751923408508e+08 7.848906593771772799e-01 5.356695684881546127e-01 4.100280392726063927e-01
0.000000000000000000e+00 -1.552853163184208274e+08 7.894095658398064819e-01 4.663379016272054534e-01 1.611910098408784187e-01
0.000000000000000000e+00 -1.497729646298354268e+08 2.873658573609351730e-01 7.272795232051975090e-01 8.369123562962009488e-02
0.000000000000000000e+00 -1.489884943313517570e+08 3.288741613673112907e-01 3.215303622700546038e-01 3.834136117070687799e-01
0.000000000000000000e+00 -1.464532147423299253e+08 7.781512809607771253e-01 5.083270829760607734e-01 9.120109459170699928e-02
0.000000000000000000e+00 -1.456928117524017692e+08 7.850256514781752681e-01 5.180811704590067013e-01 4.929991089214627031e-01
0.000000000000000000e+00 -1.455186214123670459e+08 3.026728217580889613e-01 6.115891931820577332e-01 5.710043228168359963e-02
0.000000000000000000e+00 -1.435257067604981959e+08 3.473721586081210955e-01 1.934306867464037349e-01 2.338956840930878078e-01
0.000000000000000000e+00 -1.422300230145915151e+08 7.355517840657535000e-01 8.887367143194709884e-01 2.238855289596864973e-01
0.000000000000000000e+00 -1.417171672164921761e+08 3.405480594451173459e-01 2.728498238164936973e-01 2.846793900480015793e-01
