logz logzerr logvol nlive logl logwt insert_order
-1.974236117162498534e+08 5.237679888423917000e+05 -3.525000000000002576e-01 4.000000000000000000e+02 -1.938492762467776239e+08 -1.938492825919919014e+08 1.245000000000000107e+00
-1.938492825919919014e+08 1.762168353758404031e+06 -3.550000000000002598e-01 4.000000000000000000e+02 -1.929950206022553742e+08 -1.929950269499696493e+08 4.249999999999999889e-01
-1.929950269499696493e+08 2.009803745694749756e+06 -3.575000000000002620e-01 4.000000000000000000e+02 -1.927279802588043511e+08 -1.927279866090186238e+08 1.919999999999999929e+00
-1.927279866090186238e+08 1.286800811068805633e+06 -3.600000000000002642e-01 4.000000000000000000e+02 -1.909133634180822968e+08 -1.909133697707965970e+08 4.400000000000000022e-01
-1.909133697707965970e+08 7.280707866204156308e+05 -3.625000000000002665e-01 4.000000000000000000e+02 -1.905737270286909640e+08 -1.905737333839052618e+08 3.649999999999999911e-01
-1.905737333839052618e+08 9.387043785549087625e+04 -3.650000000000002687e-01 4.000000000000000000e+02 -1.892496522183234990e+08 -1.892496585760377944e+08 5.300000000000000266e-01
-1.892496585760377944e+08 5.733411775581452530e+05 -3.675000000000002709e-01 4.000000000000000000e+02 -1.892255256987097859e+08 -1.892255320589240789e+08 5.500000000000000028e-02
-1.892255320589240789e+08 3.703648601156726945e+05 -3.700000000000002731e-01 4.000000000000000000e+02 -1.873794522598438561e+08 -1.873794586225581467e+08 1.754999999999999893e+00
-1.873794586225581467e+08 9.125265139066240517e+05 -3.725000000000002753e-01 4.000000000000000000e+02 -1.865805552243877053e+08 -1.865805615896019936e+08 1.010000000000000009e+00
-1.865805615896019936e+08 9.566763807969032787e+05 -3.750000000000002776e-01 4.000000000000000000e+02 -1.836912139494482875e+08 -1.836912203171625733e+08 1.260000000000000009e+00
-1.836912203171625733e+08 1.856007024835139746e+06 -3.775000000000002798e-01 4.000000000000000000e+02 -1.807896929069084525e+08 -1.807896992771227360e+08 1.909999999999999920e+00
